Step;name: no_q_coord - Train/train_success;name: no_q_coord - Train/train_success__MIN;name: no_q_coord - Train/train_success__MAX;name: no_coord_w - Train/train_success;name: no_coord_w - Train/train_success__MIN;name: no_coord_w - Train/train_success__MAX;name: inverse_mask - Train/train_success;name: inverse_mask - Train/train_success__MIN;name: inverse_mask - Train/train_success__MAX;name: true_mask - Train/train_success;name: true_mask - Train/train_success__MIN;name: true_mask - Train/train_success__MAX;name: eval - Train/train_success;name: eval - Train/train_success__MIN;name: eval - Train/train_success__MAX
3695;0;0;0;5;5;5;2;2;2;1;1;1;2;2;2
3705;7;7;7;11;11;11;1;1;1;0;0;0;5;5;5
3716;6;6;6;3;3;3;4;4;4;5;5;5;3;3;3
3726;6;6;6;2;2;2;2;2;2;6;6;6;6;6;6
3736;4;4;4;3;3;3;7;7;7;4;4;4;6;6;6
3746;3;3;3;4;4;4;5;5;5;6;6;6;3;3;3
3756;3;3;3;0;0;0;6;6;6;3;3;3;3;3;3
3767;3;3;3;5;5;5;4;4;4;6;6;6;5;5;5
3777;7;7;7;3;3;3;2;2;2;8;8;8;2;2;2
3787;2;2;2;5;5;5;9;9;9;0;0;0;7;7;7
3797;0;0;0;4;4;4;4;4;4;3;3;3;6;6;6
3807;3;3;3;4;4;4;3;3;3;2;2;2;7;7;7
3818;3;3;3;5;5;5;3;3;3;5;5;5;1;1;1
3828;0;0;0;1;1;1;5;5;5;3;3;3;6;6;6
3838;2;2;2;5;5;5;5;5;5;1;1;1;7;7;7
3848;3;3;3;8;8;8;4;4;4;2;2;2;7;7;7
3858;5;5;5;7;7;7;4;4;4;5;5;5;5;5;5
3869;2;2;2;5;5;5;4;4;4;4;4;4;4;4;4
3879;5;5;5;3;3;3;2;2;2;1;1;1;11;11;11
3889;6;6;6;4;4;4;2;2;2;2;2;2;7;7;7
3899;6;6;6;6;6;6;1;1;1;1;1;1;4;4;4
3909;2;2;2;2;2;2;3;3;3;4;4;4;4;4;4
3920;2;2;2;3;3;3;6;6;6;0;0;0;3;3;3
3930;2;2;2;3;3;3;2;2;2;0;0;0;6;6;6
3940;8;8;8;5;5;5;3;3;3;1;1;1;7;7;7
