Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
2150;4.720.000.000.000.000;0;9.440.000.000.000.000;"9,02";"9,02";"9,02";0;0;0;;;;15.960.000.000.000.000;"15,96";"15,96"
2196;;;;;;;;;;;;;69.399.999.999.999.900;69.399.999.999.999.900;69.399.999.999.999.900
2198;;;;;;;;;;;;;"6,8";"6,8";"6,8"
2206;;;;;;;;;;;;;"9,52";"9,52";"9,52"
2211;;;;;;;;;;"9,1";"9,1";"9,1";;;
2213;8.129.999.999.999.990;"5,02";"11,24";"17,28";"17,28";"17,28";0;0;0;;;;"5,52";"5,52";"5,52"
2259;;;;;;;;;;;;;"17,28";"17,28";"17,28"
2262;;;;;;;;;;;;;"18,18";"18,18";"18,18"
2269;;;;;;;;;;;;;"12,9";"12,9";"12,9"
2275;;;;;;;;;;"7,16";"7,16";"7,16";;;
2276;"9,91";0;"19,82";0;0;0;0;0;0;;;;"15,52";"15,52";"15,52"
2322;;;;;;;;;;;;;"8,74";"8,74";"8,74"
2325;;;;;;;;;;;;;"16,72";"16,72";"16,72"
2332;;;;;;;;;;;;;14.599.999.999.999.900;14.599.999.999.999.900;14.599.999.999.999.900
2338;;;;;;;;;;"8,32";"8,32";"8,32";;;
2339;"3,49";0;"6,98";0;0;0;0;0;0;;;;"13,86";"13,86";"13,86"
2386;;;;;;;;;;;;;"16,04";"16,04";"16,04"
2388;;;;;;;;;;;;;"6,98";"6,98";"6,98"
2395;;;;;;;;;;;;;9.379.999.999.999.990;9.379.999.999.999.990;9.379.999.999.999.990
2401;;;;;;;;;;0;0;0;;;
2403;"11,98";"8,64";"15,32";0;0;0;"16,22";"16,22";"16,22";;;;74.399.999.999.999.900;74.399.999.999.999.900;74.399.999.999.999.900
2438;;;;;;;;;;;;;"30,66";"30,66";"30,66"
2451;;;;;;;;;;;;;"16,86";"16,86";"16,86"
2459;;;;;;;;;;;;;"8,54";"8,54";"8,54"
2464;;;;;;;;;;"13,7";"13,7";"13,7";;;
2466;20.619.999.999.999.900;16.619.999.999.999.900;24.619.999.999.999.900;"14,6";"14,6";"14,6";22.840.000.000.000.000;22.840.000.000.000.000;22.840.000.000.000.000;;;;23.259.999.999.999.900;23.259.999.999.999.900;23.259.999.999.999.900
2501;;;;;;;;;;;;;"11,9";"11,9";"11,9"
2515;;;;;;;;;;;;;"13,46";"13,46";"13,46"
2522;;;;;;;;;;;;;"7,76";"7,76";"7,76"
2528;;;;;;;;;;0;0;0;;;
2529;"2,6";0;"5,2";9.120.000.000.000.000;9.120.000.000.000.000;9.120.000.000.000.000;0;0;0;;;;0;0;0
2565;;;;;;;;;;;;;"24,52";"24,52";"24,52"
2578;;;;;;;;;;;;;"6,66";"6,66";"6,66"
2585;;;;;;;;;;;;;14.780.000.000.000.000;14.780.000.000.000.000;14.780.000.000.000.000
2591;;;;;;;;;;"8,84";"8,84";"8,84";;;
2592;"11,59";"8,78";14.399.999.999.999.900;"8,08";"8,08";"8,08";"22,14";"22,14";"22,14";;;;"26,32";"26,32";"26,32"
2628;;;;;;;;;;;;;13.059.999.999.999.900;13.059.999.999.999.900;13.059.999.999.999.900
2641;;;;;;;;;;;;;"7,42";"7,42";"7,42"
2648;;;;;;;;;;;;;"15,34";"15,34";"15,34"
2654;;;;;;;;;;"5,52";"5,52";"5,52";;;
2656;"20,91";"20,14";"21,68";16.020.000.000.000.000;16.020.000.000.000.000;16.020.000.000.000.000;21.240.000.000.000.000;21.240.000.000.000.000;21.240.000.000.000.000;;;;"22,66";"22,66";"22,66"
2664;;;;;;;;;;;;;"32,64";"32,64";"32,64"
2704;;;;;;;;;;;;;9;9;9
2712;;;;;;;;;;;;;"14,62";"14,62";"14,62"
2717;;;;;;;;;;"6,24";"6,24";"6,24";;;
2719;"10,71";7.779.999.999.999.990;"13,64";"7,98";"7,98";"7,98";"14,68";"14,68";"14,68";;;;8.379.999.999.999.990;8.379.999.999.999.990;8.379.999.999.999.990
2727;;;;;;;;;;;;;"17,72";"17,72";"17,72"
2760;;;;;;;;;;;;;"29,64";"29,64";"29,64"
2768;;;;;;;;;;;;;75.600.000.000.000.000;75.600.000.000.000.000;75.600.000.000.000.000
2781;;;;;;;;;;"8,48";"8,48";"8,48";;;
2782;"19,07";"16,22";21.919.999.999.999.900;"8,64";"8,64";"8,64";"17,38";"17,38";"17,38";;;;"24,5";"24,5";"24,5"
2790;;;;;;;;;;;;;0;0;0
2824;;;;;;;;;;;;;20.659.999.999.999.900;20.659.999.999.999.900;20.659.999.999.999.900
2831;;;;;;;;;;;;;18.020.000.000.000.000;18.020.000.000.000.000;18.020.000.000.000.000
2844;;;;;;;;;;13.379.999.999.999.900;13.379.999.999.999.900;13.379.999.999.999.900;;;
2845;"7,24";"6,26";"8,22";20.020.000.000.000.000;20.020.000.000.000.000;20.020.000.000.000.000;"16,54";"16,54";"16,54";;;;23.860.000.000.000.000;23.860.000.000.000.000;23.860.000.000.000.000
2853;;;;;;;;;;;;;22.380.000.000.000.000;22.380.000.000.000.000;22.380.000.000.000.000
2883;;;;;;;;;;;;;"26,16";"26,16";"26,16"
2894;;;;;;;;;;;;;"6,3";"6,3";"6,3"
2907;;;;;;;;;;"5,58";"5,58";"5,58";;;
2909;"2,5";0;5;0;0;0;"21,78";"21,78";"21,78";;;;14.059.999.999.999.900;"14,06";"14,06"
2917;;;;;;;;;;;;;22.259.999.999.999.900;22.259.999.999.999.900;22.259.999.999.999.900
2947;;;;;;;;;;;;;"15,48";"15,48";"15,48"
2951;;;;;;;;;;;;;31.519.999.999.999.900;31.519.999.999.999.900;31.519.999.999.999.900
2957;;;;;;;;;;;;;9.280.000.000.000.000;9.280.000.000.000.000;9.280.000.000.000.000
2961;;;;;;;;;;;;;"29,82";"29,82";"29,82"
2969;;;;26.019.999.999.999.900;26.019.999.999.999.900;26.019.999.999.999.900;;;;;;;;;
2970;;;;;;;;;;"8,92";"8,92";"8,92";;;
2972;15.259.999.999.999.900;7.859.999.999.999.990;22.659.999.999.999.900;;;;"8,06";"8,06";"8,06";;;;;;
3010;;;;;;;;;;;;;"14,16";"14,16";"14,16"
3014;;;;;;;;;;;;;8.379.999.999.999.990;8.379.999.999.999.990;8.379.999.999.999.990
3021;;;;;;;;;;;;;17.439.999.999.999.900;17.439.999.999.999.900;17.439.999.999.999.900
3024;;;;;;;;;;;;;"20,18";"20,18";"20,18"
3032;;;;"13,3";"13,3";"13,3";;;;;;;;;
3034;;;;;;;;;;0;0;0;;;
3035;"2,98";0;"5,96";;;;15;15;15;;;;;;
3073;;;;;;;;;;;;;"19,96";"19,96";"19,96"
3077;;;;;;;;;;;;;19.740.000.000.000.000;19.740.000.000.000.000;19.740.000.000.000.000
3084;;;;;;;;;;;;;13.379.999.999.999.900;13.379.999.999.999.900;13.379.999.999.999.900
3088;;;;;;;;;;;;;"24,66";"24,66";"24,66"
3095;;;;0;0;0;;;;;;;;;
3097;;;;;;;;;;"9,26";"9,26";"9,26";;;
3098;"6,66";"5,8";"7,52";;;;"9,48";"9,48";"9,48";;;;;;
3136;;;;;;;;;;;;;24.119.999.999.999.900;24.119.999.999.999.900;24.119.999.999.999.900
3140;;;;;;;;;;;;;"24,12";"24,12";"24,12"
3147;;;;;;;;;;;;;"16,94";"16,94";"16,94"
3151;;;;;;;;;;;;;"6,82";"6,82";"6,82"
3155;;;;"25,72";"25,72";"25,72";;;;;;;;;
3160;;;;;;;;;;"13,3";"13,3";"13,3";;;
3162;16.060.000.000.000.000;12.440.000.000.000.000;"19,68";;;;"24,44";"24,44";"24,44";;;;;;
3199;;;;;;;;;;;;;"30,46";"30,46";"30,46"
3200;;;;;;;;;;;;;"23,46";"23,46";"23,46"
3204;;;;;;;;;;;;;"22,08";"22,08";"22,08"
3210;;;;;;;;;;;;;"6,02";"6,02";"6,02"
3218;;;;"13,36";"13,36";"13,36";;;;;;;;;
3223;;;;;;;;;;20.060.000.000.000.000;20.060.000.000.000.000;20.060.000.000.000.000;;;
3225;"15,22";"14,98";"15,46";;;;"15,16";"15,16";"15,16";;;;;;
3253;;;;;;;;;;;;;"30,7";"30,7";"30,7"
3263;;;;;;;;;;;;;18.419.999.999.999.900;18.419.999.999.999.900;18.419.999.999.999.900
3267;;;;;;;;;;;;;"16,64";"16,64";"16,64"
3274;;;;;;;;;;;;;"8,14";"8,14";"8,14"
3281;;;;15.399.999.999.999.900;15.399.999.999.999.900;15.399.999.999.999.900;;;;;;;;;
3287;;;;;;;;;;"6,68";"6,68";"6,68";;;
3288;14.290.000.000.000.000;"13,96";14.620.000.000.000.000;;;;"8,96";"8,96";"8,96";;;;;;
3316;;;;;;;;;;;;;"23,52";"23,52";"23,52"
3326;;;;;;;;;;31.159.999.999.999.900;31.159.999.999.999.900;31.159.999.999.999.900;"17,32";"17,32";"17,32"
3329;;;;;;;;;;;;;30.059.999.999.999.900;"30,06";"30,06"
3337;;;;;;;;;;;;;"17,84";"17,84";"17,84"
3344;;;;14.559.999.999.999.900;14.559.999.999.999.900;14.559.999.999.999.900;;;;;;;;;
3351;"11,8";"8,56";"15,04";;;;15.920.000.000.000.000;15.920.000.000.000.000;15.920.000.000.000.000;;;;;;
3371;;;;;;;;;;;;;"30,6";"30,6";"30,6"
3379;;;;;;;;;;;;;"24,48";"24,48";"24,48"
3389;;;;;;;;;;"15,4";"15,4";"15,4";;;
3392;;;;;;;;;;;;;21.779.999.999.999.900;21.779.999.999.999.900;21.779.999.999.999.900
3400;;;;;;;;;;;;;9.379.999.999.999.990;9.379.999.999.999.990;9.379.999.999.999.990
3408;;;;"5,06";"5,06";"5,06";;;;;;;;;
3415;"17,43";"13,76";"21,1";;;;12.620.000.000.000.000;12.620.000.000.000.000;12.620.000.000.000.000;;;;;;
3418;;;;;;;;;;;;;"31,5";"31,5";"31,5"
